fake_data,real_data,dates,,Grand Total
02/23/11,21-Dec-10,23-Feb-11,Woensdag,5813
02/24/11,22-Dec-10,24-Feb-11,Donderdag,5333
02/25/11,23-Dec-10,25-Feb-11,Vrijdag,5908
02/27/11,24-Dec-10,27-Feb-11,Zondag,4927
02/28/11,25-Dec-10,28-Feb-11,Maandag,5729
03/01/11,26-Dec-10,1-Mar-11,Dinsdag,4610
03/02/11,27-Dec-10,2-Mar-11,Woensdag,4907
03/03/11,28-Dec-10,3-Mar-11,Donderdag,4351
03/04/11,29-Dec-10,4-Mar-11,Vrijdag,5415
03/06/11,30-Dec-10,6-Mar-11,Zondag,2866
03/07/11,31-Dec-10,7-Mar-11,Maandag,4462
03/08/11,1-Jan-11,8-Mar-11,Dinsdag,3965
03/09/11,2-Jan-11,9-Mar-11,Woensdag,4637
03/10/11,3-Jan-11,10-Mar-11,Donderdag,4185
03/11/11,4-Jan-11,11-Mar-11,Vrijdag,5023
03/13/11,5-Jan-11,13-Mar-11,Zondag,3675
03/14/11,6-Jan-11,14-Mar-11,Maandag,4827
03/15/11,7-Jan-11,15-Mar-11,Dinsdag,4491
03/16/11,8-Jan-11,16-Mar-11,Woensdag,4976
03/17/11,9-Jan-11,17-Mar-11,Donderdag,4769
03/18/11,10-Jan-11,18-Mar-11,Vrijdag,5818
03/20/11,11-Jan-11,20-Mar-11,Zondag,3102
03/21/11,12-Jan-11,21-Mar-11,Maandag,5059
03/22/11,13-Jan-11,22-Mar-11,Dinsdag,5781
03/23/11,14-Jan-11,23-Mar-11,Woensdag,5585
03/24/11,15-Jan-11,24-Mar-11,Donderdag,4724
03/25/11,16-Jan-11,25-Mar-11,Vrijdag,5601
03/27/11,17-Jan-11,27-Mar-11,Zondag,2979
03/28/11,18-Jan-11,28-Mar-11,Maandag,7387
03/29/11,19-Jan-11,29-Mar-11,Dinsdag,6466
03/30/11,20-Jan-11,30-Mar-11,Woensdag,6871
03/31/11,21-Jan-11,31-Mar-11,Donderdag,7508
04/01/11,22-Jan-11,1-Apr-11,Vrijdag,5785
04/03/11,23-Jan-11,3-Apr-11,Zondag,4020
04/04/11,24-Jan-11,4-Apr-11,Maandag,5156
04/05/11,25-Jan-11,5-Apr-11,Dinsdag,5134
04/06/11,26-Jan-11,6-Apr-11,Woensdag,4880
04/07/11,27-Jan-11,7-Apr-11,Donderdag,4553
04/08/11,28-Jan-11,8-Apr-11,Vrijdag,4473
04/10/11,29-Jan-11,10-Apr-11,Zondag,2366
04/11/11,30-Jan-11,11-Apr-11,Maandag,4874
04/12/11,31-Jan-11,12-Apr-11,Dinsdag,4675
04/13/11,1-Feb-11,13-Apr-11,Woensdag,4991
04/14/11,2-Feb-11,14-Apr-11,Donderdag,5224
04/15/11,3-Feb-11,15-Apr-11,Vrijdag,5800
04/17/11,4-Feb-11,17-Apr-11,Zondag,2716
04/18/11,5-Feb-11,18-Apr-11,Maandag,4645
04/19/11,6-Feb-11,19-Apr-11,Dinsdag,4499
04/20/11,7-Feb-11,20-Apr-11,Woensdag,5107
04/21/11,8-Feb-11,21-Apr-11,Donderdag,5895
04/22/11,9-Feb-11,22-Apr-11,Vrijdag,5329
04/25/11,10-Feb-11,25-Apr-11,Maandag,2681
04/26/11,11-Feb-11,26-Apr-11,Dinsdag,4950
04/27/11,12-Feb-11,27-Apr-11,Woensdag,5495
04/28/11,13-Feb-11,28-Apr-11,Donderdag,6473
04/29/11,14-Feb-11,29-Apr-11,Vrijdag,3953
05/01/11,15-Feb-11,1-May-11,Zondag,3685
05/02/11,16-Feb-11,2-May-11,Maandag,5383
05/03/11,17-Feb-11,3-May-11,Dinsdag,5461
05/04/11,18-Feb-11,4-May-11,Woensdag,5969
05/05/11,19-Feb-11,5-May-11,Donderdag,8043
05/06/11,20-Feb-11,6-May-11,Vrijdag,14516
05/08/11,21-Feb-11,8-May-11,Zondag,2879
05/09/11,22-Feb-11,9-May-11,Maandag,5143
05/10/11,23-Feb-11,10-May-11,Dinsdag,4443
05/11/11,24-Feb-11,11-May-11,Woensdag,4546
05/12/11,25-Feb-11,12-May-11,Donderdag,5429
05/13/11,26-Feb-11,13-May-11,Vrijdag,6536
05/15/11,27-Feb-11,15-May-11,Zondag,4005
05/16/11,28-Feb-11,16-May-11,Maandag,5995
05/17/11,1-Mar-11,17-May-11,Dinsdag,5707
05/18/11,2-Mar-11,18-May-11,Woensdag,5046
05/19/11,3-Mar-11,19-May-11,Donderdag,5025
05/20/11,4-Mar-11,20-May-11,Vrijdag,5424
05/22/11,5-Mar-11,22-May-11,Zondag,4070
05/23/11,6-Mar-11,23-May-11,Maandag,5083
05/24/11,7-Mar-11,24-May-11,Dinsdag,5141
05/25/11,8-Mar-11,25-May-11,Woensdag,5543
05/26/11,9-Mar-11,26-May-11,Donderdag,5310
05/27/11,10-Mar-11,27-May-11,Vrijdag,6719
05/29/11,11-Mar-11,29-May-11,Zondag,5365
05/30/11,12-Mar-11,30-May-11,Maandag,5769
05/31/11,13-Mar-11,31-May-11,Dinsdag,6313
06/01/11,14-Mar-11,1-Jun-11,Woensdag,3774
06/02/11,15-Mar-11,2-Jun-11,Donderdag,2
06/03/11,16-Mar-11,3-Jun-11,Vrijdag,4279
06/05/11,17-Mar-11,5-Jun-11,Zondag,3690
06/06/11,18-Mar-11,6-Jun-11,Maandag,5860
06/07/11,19-Mar-11,7-Jun-11,Dinsdag,4574
06/08/11,20-Mar-11,8-Jun-11,Woensdag,5062
06/09/11,21-Mar-11,9-Jun-11,Donderdag,5245
06/10/11,22-Mar-11,10-Jun-11,Vrijdag,6010
06/13/11,23-Mar-11,13-Jun-11,Maandag,3866
06/14/11,24-Mar-11,14-Jun-11,Dinsdag,4169
06/15/11,25-Mar-11,15-Jun-11,Woensdag,6342
06/16/11,26-Mar-11,16-Jun-11,Donderdag,9896
06/17/11,27-Mar-11,17-Jun-11,Vrijdag,10645
06/19/11,28-Mar-11,19-Jun-11,Zondag,4554
06/20/11,29-Mar-11,20-Jun-11,Maandag,5728
06/21/11,30-Mar-11,21-Jun-11,Dinsdag,5804
06/22/11,31-Mar-11,22-Jun-11,Woensdag,5803
