Date,Target,Weekday,Avg temp,Sunshine_minutes,Rain_minutes,Voucher orders,Traffic,SEA Cost,SEA Clicks,Emails accepted,Emails open,Spc dag pos aanloop,Spc dag pos,Spc dag neg
31-03-14,40247,maandag,15,342,0,23054,43327,3638.16,9794,1112682,251206,,,
01-04-14,22300,dinsdag,13,474,0,12094,24911,2631.62,7677,,,,,
02-04-14,19945,woensdag,14,444,0,12407,23617,2682.81,7675,,,,,
03-04-14,20130,donderdag,15,516,0,12046,22701,2497.05,7469,,,,,
04-04-14,25129,vrijdag,13,0,0,11713,22352,2672.32,7540,,,,,
05-04-14,,zaterdag,12,318,0,5733,14146,1949.5,4901,,,,,
06-04-14,2437,zondag,13,30,150,11100,21248,2865.16,7833,,,,,
07-04-14,37168,maandag,16,204,114,16161,30124,3304.06,9451,95552,29224,,,
08-04-14,25301,dinsdag,9,300,180,20943,44637,3468.61,9929,1026968,256144,,,
09-04-14,23072,woensdag,11,702,0,14095,28378,3159.01,8912,,,,,
10-04-14,20793,donderdag,12,66,0,12745,24993,3105.8,8440,,,,,
11-04-14,24410,vrijdag,11,318,0,11036,21421,2691.64,7252,,,,,
12-04-14,,zaterdag,10,420,0,5718,14159,1866.72,4683,,,,,
13-04-14,2504,zondag,11,546,0,10732,20686,2816.98,7512,,,,,
14-04-14,35057,maandag,9,528,90,15604,29204,3576.63,9836,62524,17148,,,
15-04-14,21163,dinsdag,7,360,0,15287,34534,3598.75,9532,550962,168696,,,
16-04-14,22633,woensdag,7,780,0,13932,26273,2906.52,8269,,,,,
17-04-14,22799,donderdag,11,360,84,13174,24396,2782.81,8177,,,,,
18-04-14,26001,vrijdag,9,390,36,11906,22760,2433.25,7474,1107,837,,,Goede vrijdag
19-04-14,1,zaterdag,11,612,0,4270,12468,1608.15,3963,,,,,
20-04-14,150,zondag,16,528,0,4530,11861,1628.26,4010,,,,,1e Paasdag
21-04-14,23140,maandag,12,156,60,10144,19475,2555.57,6752,,,,,2e Paasdag
22-04-14,20381,dinsdag,13,378,0,14223,31334,3056.9,8466,1102600,251631,,,
23-04-14,21695,woensdag,13,504,0,13472,26218,2987.84,8101,,,,,
24-04-14,24809,donderdag,14,240,258,12165,24418,3035.34,8137,,,,,
25-04-14,17437,vrijdag,17,522,12,7852,18300,2326.7,6070,,,,,
26-04-14,10,zaterdag,14,390,0,3865,11015,1579.29,3739,,,,,Koninginnedag/Koningsdag
27-04-14,2615,zondag,12,102,408,10000,20504,3131.93,7616,,,,,
28-04-14,31252,maandag,13,108,0,12835,27027,3461.82,8665,61379,18296,,,
29-04-14,19798,dinsdag,14,84,102,15881,37063,3487.16,8924,1037838,253055,,,
30-04-14,20470,woensdag,13,114,0,13444,28584,3124.46,8058,,,,,
01-05-14,20272,donderdag,13,342,0,13816,30657,3253.84,9033,,,,,
